Lenovo IdeaPad Slim 7 Pro 14 (US),"14.0"" - 2880x1800",INTEL i7-11370H,INTEL Iris Xe G7 96 EU,16 GB DDR4,1024 GB - SSD,1.38 Kg / 3.04 lb,Windows 11 Home,Estimated battery: 5.7 - 6.1 h,20472480,https://p1-ofp.static.pub/ShareResource/na/subseries/gallery/lenovo-ideapad-slim-7i-pro-02.jpg,M?ng nh?
Acer TravelMate P4 TMP414 (US),"14.0"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.4 Kg / 3.09 lb,Windows 10 Pro,Estimated battery: 6.4 - 6.9 h,15829614,https://cdn.tgdd.vn/Products/Images/44/314150/acer-travelmate-p4-tmp414-51g-59r6-i5-nxvp9sv001-2-1.jpg,M?ng nh?
Huawei Honor MagicBook 14 (US),"14.0"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,512 GB - SSD,1.38 Kg / 3.04 lb,Windows 10 Home,Estimated battery: 6.4 - 6.9 h,17048214,https://fdn.gsmarena.com/imgroot/news/22/09/honor-magicbook-14-2022-review/inline/-1200w5/gsmarena_003.jpg,V?n ph�ng
Lenovo ThinkBook 15 (US),"15.6"" - 1920x1080",AMD Ryzen 5 5625U,AMD Radeon RX Vega 7 (Cezanne),16 GB DDR4,256 GB - SSD,1.7 Kg / 3.75 lb,Windows 11 Pro,Estimated battery: 6.9 - 7.4 h,18924858,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MzQ5MTg3fGltYWdlL3BuZ3xoYTcvaGEwLzE0NDA3MDUxNTQyNTU4LnBuZ3xiZjJjYzU1YWM0MTgxMDhjNGM5YTRhYWFmNzUxOGExODdjOWRmNjNiODFhMDM5Zjk2MjUyNWU0ZTkyYmNlZmNl/37-lenovo-thinkbook-15-hero.png,V?n ph�ng
HP ProBook 450 (US),"15.6"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.74 Kg / 3.84 lb,Windows 11 Pro,Estimated battery: 5.1 - 5.5 h,17352864,https://vnreview.vn/image/10/88/62/1088621.jpg?t=1399259598857,V?n ph�ng
Acer Swift Go 14 (US),"14.0"" - 2880x1800",INTEL i5-1335U,INTEL Iris Xe 80 EU,16 GB DDR5,512 GB - SSD,1.25 Kg / 2.76 lb,Windows 11 Home,Estimated battery: 3.7 - 4 h,19461042,https://hnau.imgix.net/media/catalog/product/n/x/nx.kf1sa.001-acer-swift-go-evo-sfg14-71-56wk-laptop-2_1.jpg,M?ng nh?
LG gram 15 (US),"15.6"" - 1920x1080",INTEL i5-1240P,INTEL Iris Xe G7 80 EU,8 GB DDR4,512 GB - SSD,1.13 Kg / 2.49 lb,Windows 10 Home,Estimated battery: 10.3 - 11 h,19461042,https://laptopphuocdat.com/wp-content/uploads/2022/05/LG-GRAM-15-scaled.jpg,M?ng nh?
Asus VivoBook 14 E410 (US),"14.0"" - 1366x768",INTEL Celeron N4500,INTEL UHD Graphics 11th gen,4 GB DDR4,128 GB - EMMC,1.3 Kg / 2.87 lb,Windows 11 Home,Estimated battery: 12.3 - 13.2 h,10504332,https://sistemasrjd.com/2172-large_default/laptop-asus-vivobook-14-fhd-intel-i7-1065g7-8gb-ram-512gb-ssd-win10-gris.jpg,V?n ph�ng
HP Pavilion 14t (US),"14.0"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.54 Kg / 3.4 lb,Windows 10 Home,Estimated battery: 4.9 - 5.3 h,14793804,https://file.hstatic.net/1000167396/file/fc6c49e92ad5e68bbfc412_4355f7d4e4dc482ab05422fb9a047fb2.jpg,V?n ph�ng
Lenovo Legion 5i 15 (US),"15.6"" - 1920x1080",INTEL i7-10750H,NVIDIA GeForce GTX 1650 Ti,8 GB DDR4,512 GB - SSD,2.46 Kg / 5.42 lb,Windows 10 Home,Estimated battery: 6 - 6.5 h,20472480,https://p1-ofp.static.pub/fes/cms/2022/03/30/2xkqg1c6ig883erp9az9sat6esuy7f575094.png,Gaming
HP Omen 16t (US),"16.1"" - 2560x1440",INTEL i9-12900H,NVIDIA GeForce RTX 3060,16 GB DDR5,1024 GB - SSD,2.4 Kg / 5.29 lb,Windows 11 Home,Estimated battery: 3.4 - 3.6 h,23872374,https://m.media-amazon.com/images/I/71Jr+LhLE4L.jpg,Gaming
Dell Gaming G15 (US),"15.6"" - 1920x1080",INTEL i5-12500H,NVIDIA GeForce RTX 3050 95W,8 GB DDR5,256 GB - SSD,2.52 Kg / 5.55 lb,Windows 11 Home,Estimated battery: 6.5 - 7 h,20521224,https://laptop88.vn/media/product/7053_ac___laptop_dell_gaming_g15_5520_r1766b_3.jpg,Gaming
Dell Inspiron 15 (US),"15.6"" - 1920x1080",AMD Ryzen 7 4700U,AMD Radeon RX Vega 7 (Renoir),8 GB DDR4,256 GB - SSD,1.69 Kg / 3.73 lb,Windows 10 Home,Estimated battery: 9 - 9.7 h,16048962,https://cdn.tgdd.vn/Products/Images/44/75731/dell-inspiron-15-7559-3.jpg,V?n ph�ng
Acer Swift X 14 (US),"14.0"" - 1920x1080",AMD Ryzen 7 5825U,NVIDIA GeForce RTX 3050 Ti 40W,16 GB DDR4,512 GB - SSD,1.39 Kg / 3.06 lb,Windows 10 Home,Estimated battery: 6.8 - 7.3 h,19497600,https://m.media-amazon.com/images/I/71d5rAq4YaL.jpg,M?ng nh?
Lenovo Yoga 7 15 (US),"15.6"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.9 Kg / 4.19 lb,Windows 10 Home,Estimated battery: 7.5 - 8 h,18876114,https://mac24h.vn/images/thumbnails/500/500/detailed/49/DA1CECC1-37AF-4EA3-BC19-83D78ABCE74B.png?t=1686190483,M?ng nh?
Lenovo LOQ 15 (US),"15.6"" - 1920x1080",INTEL i5-13500H,NVIDIA GeForce RTX 3050 95W,8 GB DDR5,512 GB - SSD,2.4 Kg / 5.29 lb,Windows 11 Home,Estimated battery: 3.3 - 3.5 h,19241694,https://p3-ofp.static.pub/ShareResource/na/products/lenovo-laptops/560x450/lenovo-loq-15-inch-02.png,Gaming
Lenovo Yoga C740-14 (US),"14.0"" - 1920x1080",INTEL i5-10210U,INTEL HD Graphics 620,8 GB DDR4,256 GB - SSD,1.4 Kg / 3.09 lb,Windows 10 Home,Estimated battery: 8.2 - 8.7 h,16780122,https://mayxaugiacao.com/wp-content/uploads/2020/09/lenovo-yoga-c740-14-2-in-1-core-i7-10510u-mayxaugiacao-5.jpg,M?ng nh?
Asus VivoBook S15 S533 (US),"15.6"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,512 GB - SSD,1.8 Kg / 3.97 lb,Windows 10 Home,Estimated battery: 5.7 - 6.1 h,15378732,https://i.ytimg.com/vi/IvHbeFmOZpQ/sddefault.jpg,V?n ph�ng
Lenovo ThinkPad T15 (US),"15.6"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,12 GB DDR4,512 GB - SSD,1.84 Kg / 4.06 lb,Windows 10 Pro,Estimated battery: 6.5 - 6.9 h,20106900,https://p3-ofp.static.pub/fes/cms/2022/03/18/xnaxn3w1qtymhtntydx7fs32emzd9q959215.png,V?n ph�ng
Acer Chromebook Spin 14 (US),"14.0"" - 1920x1200",INTEL i5-1335U,INTEL Iris Xe 80 EU,8 GB DDR4,256 GB - SSD,1.37 Kg / 3.02 lb,Chrome OS,Estimated battery: 4.5 - 4.9 h,17523468,https://www.komplett.se/img/p/800/1192522.jpg,V?n ph�ng
Dell Inspiron 14 2-in-1 (US),"14.0"" - 1920x1200",AMD Ryzen 5 5625U,AMD Radeon RX Vega 7 (Cezanne),32 GB DDR4,2048 GB - SSD,1.63 Kg / 3.59 lb,Windows 11 Pro,Estimated battery: 8.4 - 9.1 h,19461042,https://static.hungphatlaptop.com/wp-content/uploads/2022/07/DELL-Inspiron-14-7420-2-in-1-2022-H1.jpg.webp,V?n ph�ng
Lenovo ThinkPad E16 (US),"16.0"" - 1920x1200",AMD Ryzen 5 7530U,AMD Radeon Graphics,8 GB DDR4,256 GB - SSD,1.97 Kg / 4.34 lb,Windows 11 Pro,Estimated battery: 7.8 - 8.4 h,17742816,https://p1-ofp.static.pub/fes/cms/2023/05/12/kk6295zq2boodxh34jkmd38yw3u3o8138417.png,V?n ph�ng
Microsoft Surface Laptop 4 15 (US),"15.0"" - 2496x1664",AMD Ryzen 7 4980U,AMD Radeon RX Vega 8 (Raven Bridge),8 GB DDR4,512 GB - SSD,1.56 Kg / 3.44 lb,Windows 10 Home,Estimated battery: 6.3 - 6.8 h,19119834,https://surfacepro.vn/thumb/720/upload/surfacepro.vn/surface-laptop-4-15inch/ryzen-7-8gb-256gb/new-sf-laptop-4-15-ryzen-7-8gb-256gb_1.jpg,M?ng nh?
Gigabyte Aero 16 (US),"16.0"" - 3840x2400",INTEL i7-12700H,NVIDIA GeForce RTX 3070 Ti 105W,16 GB DDR4,2048 GB - SSD,2.3 Kg / 5.07 lb,Windows 11 Pro,Estimated battery: 6.3 - 6.8 h,29209842,https://www.tncstore.vn/image/cache/catalog/laptop/GiGaByTe/Aero%2016%20Amoled/laptop-gigabyte-aero-16-amoled-rp86xe5-1-500x500.jpg,Gaming
Lenovo ThinkBook 15 (US),"15.6"" - 1920x1080",INTEL i5-1240P,INTEL Iris Xe G7 80 EU,16 GB DDR4,512 GB - SSD,1.7 Kg / 3.75 lb,Windows 11 Pro,Estimated battery: 5.8 - 6.2 h,18997974,https://p3-ofp.static.pub/fes/cms/2022/03/17/ok395qmu2onm5h618vv6u8ri09qw3g846750.png,V?n ph�ng
Asus VivoBook S14X OLED S5402 (US),"14.5"" - 2880x1800",INTEL i5-12500H,INTEL Iris Xe G7 80 EU,8 GB DDR4,512 GB - SSD,1.63 Kg / 3.59 lb,Windows 11 Home,Estimated battery: 5.9 - 6.3 h,21898242,https://dlcdnwebimgs.asus.com/gain/ba06bcfb-59cf-4673-8902-310c2a56512e/,V?n ph�ng
LG Ultra 14 (US),"14.0"" - 1920x1200",AMD Ryzen 5 5625U,AMD Radeon RX Vega 7 (Cezanne),8 GB DDR4,512 GB - SSD,1.29 Kg / 2.84 lb,Windows 11 Pro,Estimated battery: 12.2 - 13.1 h,18900486,https://i.gadgets360cdn.com/products/large/lg-ultra-pc-14u74q-db-1457x800-1661151154.jpg?downsize=*:360,V?n ph�ng
Huawei Honor MagicBook 15 (US),"15.6"" - 1920x1080",AMD Ryzen 5 3500U,AMD Radeon RX Vega 8 (Picasso),8 GB DDR4,256 GB - SSD,1.56 Kg / 3.44 lb,Linux Ubuntu,Estimated battery: 7.2 - 7.7 h,15780870,https://www.notebookcheck.net/uploads/tx_nbc2/4zu3_Honor_Magicbook_15.jpg,V?n ph�ng
MSI Bravo 15 (US),"15.6"" - 1920x1080",AMD Ryzen 7 5800H,AMD Radeon RX 5500M,16 GB DDR4,512 GB - SSD,2.35 Kg / 5.18 lb,Windows 10 Home,Estimated battery: 3.7 - 3.9 h,20472480,https://www.tncstore.vn/image/catalog/BAI%20VIET/MEDIA%20TNC%20NEWS/MSI%20Bravo%2015/Bravo1.jpg,Gaming
